"LOCATION","Country","INDICATOR","Indicator","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"POL","Poland","COCONF","Consumer confidence","A","Annual","2020","2020","IDX","Index","0","Units",,,99.18,,
"POL","Poland","COCONF","Consumer confidence","A","Annual","2021","2021","IDX","Index","0","Units",,,100.13,,
"POL","Poland","COCONF","Consumer confidence","A","Annual","2022","2022","IDX","Index","0","Units",,,98.42,,
"ITA","Italy","RGDP","GDP per capita, growth rate compared to previous quarter","A","Annual","2008","2008","GRWH","Growth rate","0","Units",,,-1.72,,
"ITA","Italy","RGDP","GDP per capita, growth rate compared to previous quarter","A","Annual","2009","2009","GRWH","Growth rate","0","Units",,,-5.83,,
"ITA","Italy","RGDP","GDP per capita, growth rate compared to previous quarter","A","Annual","2010","2010","GRWH","Growth rate","0","Units",,,1.26,,
"ITA","Italy","RGDP","GDP per capita, growth rate compared to previous quarter","A","Annual","2011","2011","GRWH","Growth rate","0","Units",,,0.36,,
"ITA","Italy","RGDP","GDP per capita, growth rate compared to previous quarter","A","Annual","2012","2012","GRWH","Growth rate","0","Units",,,-3.25,,
"ITA","Italy","RGDP","GDP per capita, growth rate compared to previous quarter","A","Annual","2013","2013","GRWH","Growth rate","0","Units",,,-2.04,,
"ITA","Italy","RGDP","GDP per capita, growth rate compared to previous quarter","A","Annual","2014","2014","GRWH","Growth rate","0","Units",,,-0.02,,
"ITA","Italy","RGDP","GDP per capita, growth rate compared to previous quarter","A","Annual","2015","2015","GRWH","Growth rate","0","Units",,,0.93,,
"ITA","Italy","RGDP","GDP per capita, growth rate compared to previous quarter","A","Annual","2016","2016","GRWH","Growth rate","0","Units",,,1.49,,
"ITA","Italy","RGDP","GDP per capita, growth rate compared to previous quarter","A","Annual","2017","2017","GRWH","Growth rate","0","Units",,,1.86,,
"ITA","Italy","RGDP","GDP per capita, growth rate compared to previous quarter","A","Annual","2018","2018","GRWH","Growth rate","0","Units",,,1.14,,
"ITA","Italy","RGDP","GDP per capita, growth rate compared to previous quarter","A","Annual","2019","2019","GRWH","Growth rate","0","Units",,,0.73,,
"ITA","Italy","RGDP","GDP per capita, growth rate compared to previous quarter","A","Annual","2020","2020","GRWH","Growth rate","0","Units",,,-8.53,,
"ITA","Italy","RGDP","GDP per capita, growth rate compared to previous quarter","A","Annual","2021","2021","GRWH","Growth rate","0","Units",,,8.87,,
"ITA","Italy","RGDP","GDP per capita, growth rate compared to previous quarter","A","Annual","2022","2022","GRWH","Growth rate","0","Units",,,4.06,,
"DNK","Denmark","LAB_UR6","Labour underutilisation rate","A","Annual","2007","2007","PC","Percentage","0","Units",,,9.57,,
"DNK","Denmark","LAB_UR6","Labour underutilisation rate","A","Annual","2008","2008","PC","Percentage","0","Units",,,9.48,,
"DNK","Denmark","LAB_UR6","Labour underutilisation rate","A","Annual","2009","2009","PC","Percentage","0","Units",,,12.92,,
"DNK","Denmark","LAB_UR6","Labour underutilisation rate","A","Annual","2010","2010","PC","Percentage","0","Units",,,14.65,,
"DNK","Denmark","LAB_UR6","Labour underutilisation rate","A","Annual","2011","2011","PC","Percentage","0","Units",,,15.17,,
"DNK","Denmark","LAB_UR6","Labour underutilisation rate","A","Annual","2012","2012","PC","Percentage","0","Units",,,15.27,,
"DNK","Denmark","LAB_UR6","Labour underutilisation rate","A","Annual","2013","2013","PC","Percentage","0","Units",,,14.76,,
"DNK","Denmark","LAB_UR6","Labour underutilisation rate","A","Annual","2014","2014","PC","Percentage","0","Units",,,13.43,,
"DNK","Denmark","LAB_UR6","Labour underutilisation rate","A","Annual","2015","2015","PC","Percentage","0","Units",,,11.99,,
"DNK","Denmark","LAB_UR6","Labour underutilisation rate","A","Annual","2016","2016","PC","Percentage","0","Units",,,13.93,,
"DNK","Denmark","LAB_UR6","Labour underutilisation rate","A","Annual","2017","2017","PC","Percentage","0","Units",,,11.98,,
"DNK","Denmark","LAB_UR6","Labour underutilisation rate","A","Annual","2018","2018","PC","Percentage","0","Units",,,9.95,,
"DNK","Denmark","LAB_UR6","Labour underutilisation rate","A","Annual","2019","2019","PC","Percentage","0","Units",,,9.7,,
"DNK","Denmark","LAB_UR6","Labour underutilisation rate","A","Annual","2020","2020","PC","Percentage","0","Units",,,13.19,,
"DNK","Denmark","LAB_UR6","Labour underutilisation rate","A","Annual","2021","2021","PC","Percentage","0","Units",,,10.01,,
"DNK","Denmark","LAB_UR6","Labour underutilisation rate","A","Annual","2022","2022","PC","Percentage","0","Units",,,8.04,,
"GRC","Greece","RGDP_INDEX","GDP per capita index","A","Annual","2007","2007","IDX","Index","0","Units",,,100,,
"GRC","Greece","RGDP_INDEX","GDP per capita index","A","Annual","2008","2008","IDX","Index","0","Units",,,99.4,,
"GRC","Greece","RGDP_INDEX","GDP per capita index","A","Annual","2009","2009","IDX","Index","0","Units",,,94.88,,
"GRC","Greece","RGDP_INDEX","GDP per capita index","A","Annual","2010","2010","IDX","Index","0","Units",,,89.56,,
"GRC","Greece","RGDP_INDEX","GDP per capita index","A","Annual","2011","2011","IDX","Index","0","Units",,,80.59,,
"GRC","Greece","RGDP_INDEX","GDP per capita index","A","Annual","2012","2012","IDX","Index","0","Units",,,75.29,,
"GRC","Greece","RGDP_INDEX","GDP per capita index","A","Annual","2013","2013","IDX","Index","0","Units",,,73.93,,
"GRC","Greece","RGDP_INDEX","GDP per capita index","A","Annual","2014","2014","IDX","Index","0","Units",,,74.77,,
"GRC","Greece","RGDP_INDEX","GDP per capita index","A","Annual","2015","2015","IDX","Index","0","Units",,,75.12,,
"GRC","Greece","RGDP_INDEX","GDP per capita index","A","Annual","2016","2016","IDX","Index","0","Units",,,75.07,,
"GRC","Greece","RGDP_INDEX","GDP per capita index","A","Annual","2017","2017","IDX","Index","0","Units",,,76.04,,
"GRC","Greece","RGDP_INDEX","GDP per capita index","A","Annual","2018","2018","IDX","Index","0","Units",,,77.46,,
"GRC","Greece","RGDP_INDEX","GDP per capita index","A","Annual","2019","2019","IDX","Index","0","Units",,,79.01,,
"GRC","Greece","RGDP_INDEX","GDP per capita index","A","Annual","2020","2020","IDX","Index","0","Units",,,72.05,,
"GRC","Greece","RGDP_INDEX","GDP per capita index","A","Annual","2021","2021","IDX","Index","0","Units",,,78.55,,
"GRC","Greece","RGDP_INDEX","GDP per capita index","A","Annual","2022","2022","IDX","Index","0","Units",,,83.75,,
"GBR","United Kingdom","LAB_UR6","Labour underutilisation rate","A","Annual","2007","2007","PC","Percentage","0","Units",,,9.86,,
"GBR","United Kingdom","LAB_UR6","Labour underutilisation rate","A","Annual","2008","2008","PC","Percentage","0","Units",,,10.43,,
"GBR","United Kingdom","LAB_UR6","Labour underutilisation rate","A","Annual","2009","2009","PC","Percentage","0","Units",,,13.74,,
"GBR","United Kingdom","LAB_UR6","Labour underutilisation rate","A","Annual","2010","2010","PC","Percentage","0","Units",,,14.41,,
"GBR","United Kingdom","LAB_UR6","Labour underutilisation rate","A","Annual","2011","2011","PC","Percentage","0","Units",,,14.86,,
"GBR","United Kingdom","LAB_UR6","Labour underutilisation rate","A","Annual","2012","2012","PC","Percentage","0","Units",,,15.05,,
"GBR","United Kingdom","LAB_UR6","Labour underutilisation rate","A","Annual","2013","2013","PC","Percentage","0","Units",,,14.68,,
"GBR","United Kingdom","LAB_UR6","Labour underutilisation rate","A","Annual","2014","2014","PC","Percentage","0","Units",,,12.61,,
"GBR","United Kingdom","LAB_UR6","Labour underutilisation rate","A","Annual","2015","2015","PC","Percentage","0","Units",,,11.46,,
"GBR","United Kingdom","LAB_UR6","Labour underutilisation rate","A","Annual","2016","2016","PC","Percentage","0","Units",,,10.35,,
"GBR","United Kingdom","LAB_UR6","Labour underutilisation rate","A","Annual","2017","2017","PC","Percentage","0","Units",,,9.36,,
"GBR","United Kingdom","LAB_UR6","Labour underutilisation rate","A","Annual","2018","2018","PC","Percentage","0","Units",,,8.63,,
"GBR","United Kingdom","LAB_UR6","Labour underutilisation rate","A","Annual","2019","2019","PC","Percentage","0","Units",,,8.15,,
"GBR","United Kingdom","LAB_UR6","Labour underutilisation rate","A","Annual","2020","2020","PC","Percentage","0","Units",,,14.67,,
"GBR","United Kingdom","LAB_UR6","Labour underutilisation rate","A","Annual","2021","2021","PC","Percentage","0","Units",,,13.79,,
"GBR","United Kingdom","LAB_UR6","Labour underutilisation rate","A","Annual","2022","2022","PC","Percentage","0","Units",,,12.48,,
"LVA","Latvia","LAB_UR6","Labour underutilisation rate","A","Annual","2007","2007","PC","Percentage","0","Units",,,13.79,,
"LVA","Latvia","LAB_UR6","Labour underutilisation rate","A","Annual","2008","2008","PC","Percentage","0","Units",,,14.46,,
"LVA","Latvia","LAB_UR6","Labour underutilisation rate","A","Annual","2009","2009","PC","Percentage","0","Units",,,29.91,,
"LVA","Latvia","LAB_UR6","Labour underutilisation rate","A","Annual","2010","2010","PC","Percentage","0","Units",,,31.61,,
"LVA","Latvia","LAB_UR6","Labour underutilisation rate","A","Annual","2011","2011","PC","Percentage","0","Units",,,27.46,,
"LVA","Latvia","LAB_UR6","Labour underutilisation rate","A","Annual","2012","2012","PC","Percentage","0","Units",,,25.23,,
"LVA","Latvia","LAB_UR6","Labour underutilisation rate","A","Annual","2013","2013","PC","Percentage","0","Units",,,21.03,,
"LVA","Latvia","LAB_UR6","Labour underutilisation rate","A","Annual","2014","2014","PC","Percentage","0","Units",,,18.34,,
"LVA","Latvia","LAB_UR6","Labour underutilisation rate","A","Annual","2015","2015","PC","Percentage","0","Units",,,16.71,,
"LVA","Latvia","LAB_UR6","Labour underutilisation rate","A","Annual","2016","2016","PC","Percentage","0","Units",,,16.8,,
"LVA","Latvia","LAB_UR6","Labour underutilisation rate","A","Annual","2017","2017","PC","Percentage","0","Units",,,15.53,,
"LVA","Latvia","LAB_UR6","Labour underutilisation rate","A","Annual","2018","2018","PC","Percentage","0","Units",,,12.79,,
"LVA","Latvia","LAB_UR6","Labour underutilisation rate","A","Annual","2019","2019","PC","Percentage","0","Units",,,11.21,,
"LVA","Latvia","LAB_UR6","Labour underutilisation rate","A","Annual","2020","2020","PC","Percentage","0","Units",,,14.07,,
"LVA","Latvia","LAB_UR6","Labour underutilisation rate","A","Annual","2021","2021","PC","Percentage","0","Units",,,15.07,,
"LVA","Latvia","LAB_UR6","Labour underutilisation rate","A","Annual","2022","2022","PC","Percentage","0","Units",,,11.68,,
"MEX","Mexico","HHNT","Net cash transfers to the households","A","Annual","2008","2008","PC","Percentage","0","Units",,,103.01,,
"MEX","Mexico","HHNT","Net cash transfers to the households","A","Annual","2009","2009","PC","Percentage","0","Units",,,102.54,,
"MEX","Mexico","HHNT","Net cash transfers to the households","A","Annual","2010","2010","PC","Percentage","0","Units",,,102.06,,
"MEX","Mexico","HHNT","Net cash transfers to the households","A","Annual","2011","2011","PC","Percentage","0","Units",,,105.92,,
"MEX","Mexico","HHNT","Net cash transfers to the households","A","Annual","2012","2012","PC","Percentage","0","Units",,,103.62,,
"MEX","Mexico","HHNT","Net cash transfers to the households","A","Annual","2013","2013","PC","Percentage","0","Units",,,105.15,,
"MEX","Mexico","HHNT","Net cash transfers to the households","A","Annual","2014","2014","PC","Percentage","0","Units",,,104.69,,
"MEX","Mexico","HHNT","Net cash transfers to the households","A","Annual","2015","2015","PC","Percentage","0","Units",,,106.62,,
"MEX","Mexico","HHNT","Net cash transfers to the households","A","Annual","2016","2016","PC","Percentage","0","Units",,,106.17,,
"MEX","Mexico","HHNT","Net cash transfers to the households","A","Annual","2017","2017","PC","Percentage","0","Units",,,103.91,,
"MEX","Mexico","HHNT","Net cash transfers to the households","A","Annual","2018","2018","PC","Percentage","0","Units",,,106.12,,
"MEX","Mexico","HHNT","Net cash transfers to the households","A","Annual","2019","2019","PC","Percentage","0","Units",,,105.59,,
"MEX","Mexico","HHNT","Net cash transfers to the households","A","Annual","2020","2020","PC","Percentage","0","Units",,,105.22,,
"MEX","Mexico","HHNT","Net cash transfers to the households","A","Annual","2021","2021","PC","Percentage","0","Units",,,106.97,,
"MEX","Mexico","HHNT","Net cash transfers to the households","A","Annual","2022","2022","PC","Percentage","0","Units",,,110.47,,
"CAN","Canada","HHSAV","Household gross savings rate","A","Annual","2007","2007","PC","Percentage","0","Units",,,6.63,,
"CAN","Canada","HHSAV","Household gross savings rate","A","Annual","2008","2008","PC","Percentage","0","Units",,,7.75,,
"CAN","Canada","HHSAV","Household gross savings rate","A","Annual","2009","2009","PC","Percentage","0","Units",,,9.05,,
"CAN","Canada","HHSAV","Household gross savings rate","A","Annual","2010","2010","PC","Percentage","0","Units",,,8.75,,
"CAN","Canada","HHSAV","Household gross savings rate","A","Annual","2011","2011","PC","Percentage","0","Units",,,8.58,,
"CAN","Canada","HHSAV","Household gross savings rate","A","Annual","2012","2012","PC","Percentage","0","Units",,,9.11,,
"CAN","Canada","HHSAV","Household gross savings rate","A","Annual","2013","2013","PC","Percentage","0","Units",,,9.19,,
"CAN","Canada","HHSAV","Household gross savings rate","A","Annual","2014","2014","PC","Percentage","0","Units",,,8.05,,
"CAN","Canada","HHSAV","Household gross savings rate","A","Annual","2015","2015","PC","Percentage","0","Units",,,8.56,,
"CAN","Canada","HHSAV","Household gross savings rate","A","Annual","2016","2016","PC","Percentage","0","Units",,,6.46,,
"CAN","Canada","HHSAV","Household gross savings rate","A","Annual","2017","2017","PC","Percentage","0","Units",,,6.56,,
"CAN","Canada","HHSAV","Household gross savings rate","A","Annual","2018","2018","PC","Percentage","0","Units",,,5.54,,
"CAN","Canada","HHSAV","Household gross savings rate","A","Annual","2019","2019","PC","Percentage","0","Units",,,6.77,,
"CAN","Canada","HHSAV","Household gross savings rate","A","Annual","2020","2020","PC","Percentage","0","Units",,,17.88,,
"CAN","Canada","HHSAV","Household gross savings rate","A","Annual","2021","2021","PC","Percentage","0","Units",,,14.95,,
"CAN","Canada","HHSAV","Household gross savings rate","A","Annual","2022","2022","PC","Percentage","0","Units",,,10.74,,
"DNK","Denmark","ENDT","Household indebtedness ratio","A","Annual","2012","2012","PC","Percentage","0","Units",,,301.77,,
"DNK","Denmark","ENDT","Household indebtedness ratio","A","Annual","2013","2013","PC","Percentage","0","Units",,,290.91,,
"DNK","Denmark","ENDT","Household indebtedness ratio","A","Annual","2014","2014","PC","Percentage","0","Units",,,294.31,,
"DNK","Denmark","ENDT","Household indebtedness ratio","A","Annual","2015","2015","PC","Percentage","0","Units",,,285.17,,
"DNK","Denmark","ENDT","Household indebtedness ratio","A","Annual","2016","2016","PC","Percentage","0","Units",,,269.98,,
"DNK","Denmark","ENDT","Household indebtedness ratio","A","Annual","2017","2017","PC","Percentage","0","Units",,,242.8,,
"DNK","Denmark","ENDT","Household indebtedness ratio","A","Annual","2018","2018","PC","Percentage","0","Units",,,235.67,,
"DNK","Denmark","ENDT","Household indebtedness ratio","A","Annual","2019","2019","PC","Percentage","0","Units",,,235.95,,
"DNK","Denmark","ENDT","Household indebtedness ratio","A","Annual","2020","2020","PC","Percentage","0","Units",,,240.94,,
"DNK","Denmark","ENDT","Household indebtedness ratio","A","Annual","2021","2021","PC","Percentage","0","Units",,,233.4,,
"DNK","Denmark","ENDT","Household indebtedness ratio","A","Annual","2022","2022","PC","Percentage","0","Units",,,193.75,,
"KOR","Korea","UNEMPRATE","Unemployment rate","A","Annual","2007","2007","PC","Percentage","0","Units",,,3.26,,
"KOR","Korea","UNEMPRATE","Unemployment rate","A","Annual","2008","2008","PC","Percentage","0","Units",,,3.17,,
"KOR","Korea","UNEMPRATE","Unemployment rate","A","Annual","2009","2009","PC","Percentage","0","Units",,,3.63,,
"KOR","Korea","UNEMPRATE","Unemployment rate","A","Annual","2010","2010","PC","Percentage","0","Units",,,3.71,,
"KOR","Korea","UNEMPRATE","Unemployment rate","A","Annual","2011","2011","PC","Percentage","0","Units",,,3.41,,
"KOR","Korea","UNEMPRATE","Unemployment rate","A","Annual","2012","2012","PC","Percentage","0","Units",,,3.22,,
"KOR","Korea","UNEMPRATE","Unemployment rate","A","Annual","2013","2013","PC","Percentage","0","Units",,,3.1,,
"KOR","Korea","UNEMPRATE","Unemployment rate","A","Annual","2014","2014","PC","Percentage","0","Units",,,3.49,,
"KOR","Korea","UNEMPRATE","Unemployment rate","A","Annual","2015","2015","PC","Percentage","0","Units",,,3.59,,
"KOR","Korea","UNEMPRATE","Unemployment rate","A","Annual","2016","2016","PC","Percentage","0","Units",,,3.67,,
"KOR","Korea","UNEMPRATE","Unemployment rate","A","Annual","2017","2017","PC","Percentage","0","Units",,,3.68,,
"KOR","Korea","UNEMPRATE","Unemployment rate","A","Annual","2018","2018","PC","Percentage","0","Units",,,3.83,,
"KOR","Korea","UNEMPRATE","Unemployment rate","A","Annual","2019","2019","PC","Percentage","0","Units",,,3.78,,
"KOR","Korea","UNEMPRATE","Unemployment rate","A","Annual","2020","2020","PC","Percentage","0","Units",,,3.94,,
"KOR","Korea","UNEMPRATE","Unemployment rate","A","Annual","2021","2021","PC","Percentage","0","Units",,,3.67,,
"KOR","Korea","UNEMPRATE","Unemployment rate","A","Annual","2022","2022","PC","Percentage","0","Units",,,2.88,,
"HUN","Hungary","HHFINCON","Real household final consumption expenditure per capita, growth rate compared to previous quarter","A","Annual","2008","2008","GRWH","Growth rate","0","Units",,,-1.11,,
"HUN","Hungary","HHFINCON","Real household final consumption expenditure per capita, growth rate compared to previous quarter","A","Annual","2009","2009","GRWH","Growth rate","0","Units",,,-6.58,,
"HUN","Hungary","HHFINCON","Real household final consumption expenditure per capita, growth rate compared to previous quarter","A","Annual","2010","2010","GRWH","Growth rate","0","Units",,,-1.04,,
"HUN","Hungary","HHFINCON","Real household final consumption expenditure per capita, growth rate compared to previous quarter","A","Annual","2011","2011","GRWH","Growth rate","0","Units",,,1.15,,
"HUN","Hungary","HHFINCON","Real household final consumption expenditure per capita, growth rate compared to previous quarter","A","Annual","2012","2012","GRWH","Growth rate","0","Units",,,-1.92,,
"HUN","Hungary","HHFINCON","Real household final consumption expenditure per capita, growth rate compared to previous quarter","A","Annual","2013","2013","GRWH","Growth rate","0","Units",,,0.35,,
"HUN","Hungary","HHFINCON","Real household final consumption expenditure per capita, growth rate compared to previous quarter","A","Annual","2014","2014","GRWH","Growth rate","0","Units",,,2.68,,
"HUN","Hungary","HHFINCON","Real household final consumption expenditure per capita, growth rate compared to previous quarter","A","Annual","2015","2015","GRWH","Growth rate","0","Units",,,4.06,,
"HUN","Hungary","HHFINCON","Real household final consumption expenditure per capita, growth rate compared to previous quarter","A","Annual","2016","2016","GRWH","Growth rate","0","Units",,,4.99,,
"HUN","Hungary","HHFINCON","Real household final consumption expenditure per capita, growth rate compared to previous quarter","A","Annual","2017","2017","GRWH","Growth rate","0","Units",,,5.32,,
"HUN","Hungary","HHFINCON","Real household final consumption expenditure per capita, growth rate compared to previous quarter","A","Annual","2018","2018","GRWH","Growth rate","0","Units",,,5.23,,
"HUN","Hungary","HHFINCON","Real household final consumption expenditure per capita, growth rate compared to previous quarter","A","Annual","2019","2019","GRWH","Growth rate","0","Units",,,5.06,,
"HUN","Hungary","HHFINCON","Real household final consumption expenditure per capita, growth rate compared to previous quarter","A","Annual","2020","2020","GRWH","Growth rate","0","Units",,,-1.02,,
"HUN","Hungary","HHFINCON","Real household final consumption expenditure per capita, growth rate compared to previous quarter","A","Annual","2021","2021","GRWH","Growth rate","0","Units",,,5.07,,
"HUN","Hungary","HHFINCON","Real household final consumption expenditure per capita, growth rate compared to previous quarter","A","Annual","2022","2022","GRWH","Growth rate","0","Units",,,6.82,,
"ISL","Iceland","LAB_UR6","Labour underutilisation rate","A","Annual","2007","2007","PC","Percentage","0","Units",,,5.06,,
"ISL","Iceland","LAB_UR6","Labour underutilisation rate","A","Annual","2008","2008","PC","Percentage","0","Units",,,6.26,,
"ISL","Iceland","LAB_UR6","Labour underutilisation rate","A","Annual","2009","2009","PC","Percentage","0","Units",,,13.45,,
"ISL","Iceland","LAB_UR6","Labour underutilisation rate","A","Annual","2010","2010","PC","Percentage","0","Units",,,14.62,,
"ISL","Iceland","LAB_UR6","Labour underutilisation rate","A","Annual","2011","2011","PC","Percentage","0","Units",,,14.55,,
"ISL","Iceland","LAB_UR6","Labour underutilisation rate","A","Annual","2012","2012","PC","Percentage","0","Units",,,14.59,,
"ISL","Iceland","LAB_UR6","Labour underutilisation rate","A","Annual","2013","2013","PC","Percentage","0","Units",,,13.3,,
"ISL","Iceland","LAB_UR6","Labour underutilisation rate","A","Annual","2014","2014","PC","Percentage","0","Units",,,13.14,,
"ISL","Iceland","LAB_UR6","Labour underutilisation rate","A","Annual","2015","2015","PC","Percentage","0","Units",,,11.69,,
"ISL","Iceland","LAB_UR6","Labour underutilisation rate","A","Annual","2016","2016","PC","Percentage","0","Units",,,9.64,,
"ISL","Iceland","LAB_UR6","Labour underutilisation rate","A","Annual","2017","2017","PC","Percentage","0","Units",,,9.15,,
"ISL","Iceland","LAB_UR6","Labour underutilisation rate","A","Annual","2018","2018","PC","Percentage","0","Units",,,8.5,,
"ISL","Iceland","LAB_UR6","Labour underutilisation rate","A","Annual","2019","2019","PC","Percentage","0","Units",,,9.13,,
"ISL","Iceland","LAB_UR6","Labour underutilisation rate","A","Annual","2020","2020","PC","Percentage","0","Units",,,12.61,,
"ISL","Iceland","LAB_UR6","Labour underutilisation rate","A","Annual","2021","2021","PC","Percentage","0","Units",,,14.59,,
"ISL","Iceland","LAB_UR6","Labour underutilisation rate","A","Annual","2022","2022","PC","Percentage","0","Units",,,10.37,,
"CZE","Czechia","RHHGDI_INDEX","Real household gross disposable income per capita","A","Annual","2007","2007","IDX","Index","0","Units",,,100,,
"CZE","Czechia","RHHGDI_INDEX","Real household gross disposable income per capita","A","Annual","2008","2008","IDX","Index","0","Units",,,101.38,,
"CZE","Czechia","RHHGDI_INDEX","Real household gross disposable income per capita","A","Annual","2009","2009","IDX","Index","0","Units",,,102.65,,
