"LOCATION","Country","INDICATOR","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2008","2008",,,"0","Units",,,11536896.7591722,,
"USA","United States","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2009","2009",,,"0","Units",,,11544442.184923,,
"USA","United States","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2010","2010",,,"0","Units",,,11813770.0709498,,
"USA","United States","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2011","2011",,,"0","Units",,,12084498.0142984,,
"USA","United States","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2012","2012",,,"0","Units",,,12498049.3166178,,
"USA","United States","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2013","2013",,,"0","Units",,,12340321.217775,,
"USA","United States","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2014","2014",,,"0","Units",,,12807061.8914379,,
"USA","United States","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2015","2015",,,"0","Units",,,13298344.832,,
"USA","United States","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2016","2016",,,"0","Units",,,13545426.9626771,,
"USA","United States","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2017","2017",,,"0","Units",,,13911005.4519756,,
"USA","United States","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2018","2018",,,"0","Units",,,14360875.7523474,,
"USA","United States","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2019","2019",,,"0","Units",,,14857066.725457,,
"USA","United States","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2020","2020",,,"0","Units",,,15872628.8716488,,
"USA","United States","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2021","2021",,,"0","Units",,,16183116.2210416,,
"EST","Estonia","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2000","2000",,,"0","Units",,,5769.81388064761,,
"EST","Estonia","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2001","2001",,,"0","Units",,,6036.79380124125,,
"EST","Estonia","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2002","2002",,,"0","Units",,,6115.53251963536,,
"EST","Estonia","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2003","2003",,,"0","Units",,,6687.42637440211,,
"EST","Estonia","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2004","2004",,,"0","Units",,,7087.83077429416,,
"EST","Estonia","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2005","2005",,,"0","Units",,,7886.95752657773,,
"EST","Estonia","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2006","2006",,,"0","Units",,,8977.45454688268,,
"EST","Estonia","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2007","2007",,,"0","Units",,,9636.2349923425,,
"EST","Estonia","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2008","2008",,,"0","Units",,,10314.5390635498,,
"EST","Estonia","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2009","2009",,,"0","Units",,,9430.20312383303,,
"EST","Estonia","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2010","2010",,,"0","Units",,,9020.52553820483,,
"EST","Estonia","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2011","2011",,,"0","Units",,,9319.52318958858,,
"EST","Estonia","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2012","2012",,,"0","Units",,,9246.09652574944,,
"EST","Estonia","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2013","2013",,,"0","Units",,,9761.93320625021,,
"EST","Estonia","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2014","2014",,,"0","Units",,,10244.1037825376,,
"EST","Estonia","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2015","2015",,,"0","Units",,,10900.7,,
"EST","Estonia","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2016","2016",,,"0","Units",,,11427.9792390871,,
"EST","Estonia","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2017","2017",,,"0","Units",,,11863.5860471834,,
"EST","Estonia","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2018","2018",,,"0","Units",,,12626.8309563746,,
"EST","Estonia","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2019","2019",,,"0","Units",,,13187.5962980086,,
"EST","Estonia","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2020","2020",,,"0","Units",,,13346.5670373714,,
"EST","Estonia","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2021","2021",,,"0","Units",,,13929.3395222294,,
"EST","Estonia","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2022","2022",,,"0","Units",,,13100.2268980896,,
"NLD","Netherlands","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2000","2000",,,"0","Units",,,285306.615459759,,
"NLD","Netherlands","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2001","2001",,,"0","Units",,,303320.044951027,,
"NLD","Netherlands","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2002","2002",,,"0","Units",,,301227.239838218,,
"NLD","Netherlands","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2003","2003",,,"0","Units",,,297194.035714684,,
"NLD","Netherlands","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2004","2004",,,"0","Units",,,298427.18745485,,
"NLD","Netherlands","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2005","2005",,,"0","Units",,,297095.410728481,,
"NLD","Netherlands","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2006","2006",,,"0","Units",,,301796.052732355,,
"NLD","Netherlands","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2007","2007",,,"0","Units",,,307840.659848751,,
"NLD","Netherlands","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2008","2008",,,"0","Units",,,311094.360369022,,
"NLD","Netherlands","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2009","2009",,,"0","Units",,,314167.105420734,,
"NLD","Netherlands","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2010","2010",,,"0","Units",,,313540.952817167,,
"NLD","Netherlands","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2011","2011",,,"0","Units",,,315365.527565227,,
"NLD","Netherlands","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2012","2012",,,"0","Units",,,314804.575519539,,
"NLD","Netherlands","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2013","2013",,,"0","Units",,,311678.041350287,,
"NLD","Netherlands","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2014","2014",,,"0","Units",,,317174.394605526,,
"NLD","Netherlands","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2015","2015",,,"0","Units",,,322766,,
"NLD","Netherlands","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2016","2016",,,"0","Units",,,330199.701203325,,
"NLD","Netherlands","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2017","2017",,,"0","Units",,,333387.828375906,,
"NLD","Netherlands","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2018","2018",,,"0","Units",,,342308.519544198,,
"NLD","Netherlands","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2019","2019",,,"0","Units",,,350511.984821159,,
"NLD","Netherlands","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2020","2020",,,"0","Units",,,358623.427516347,,
"NLD","Netherlands","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2021","2021",,,"0","Units",,,366905.667265165,,
"NLD","Netherlands","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2022","2022",,,"0","Units",,,374222.205691647,"E","Estimated value"
"IRL","Ireland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2000","2000",,,"0","Units",,,58180.4426578373,,
"IRL","Ireland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2001","2001",,,"0","Units",,,64101.1874867843,,
"IRL","Ireland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2002","2002",,,"0","Units",,,65416.1971979287,,
"IRL","Ireland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2003","2003",,,"0","Units",,,67515.0758596026,,
"IRL","Ireland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2004","2004",,,"0","Units",,,70914.2345174045,,
"IRL","Ireland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2005","2005",,,"0","Units",,,76399.6818506901,,
"IRL","Ireland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2006","2006",,,"0","Units",,,79715.4623240014,,
"IRL","Ireland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2007","2007",,,"0","Units",,,84594.745270986,,
"IRL","Ireland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2008","2008",,,"0","Units",,,90148.8659931945,,
"IRL","Ireland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2009","2009",,,"0","Units",,,90597.7829878108,,
"IRL","Ireland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2010","2010",,,"0","Units",,,88715.3546531506,,
"IRL","Ireland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2011","2011",,,"0","Units",,,84206.7013015648,,
"IRL","Ireland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2012","2012",,,"0","Units",,,85284.8469333281,,
"IRL","Ireland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2013","2013",,,"0","Units",,,83869.1179291446,,
"IRL","Ireland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2014","2014",,,"0","Units",,,83996.2757488441,,
"IRL","Ireland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2015","2015",,,"0","Units",,,87867.12427,,
"IRL","Ireland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2016","2016",,,"0","Units",,,91694.6951478995,,
"IRL","Ireland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2017","2017",,,"0","Units",,,96395.7590409557,,
"IRL","Ireland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2018","2018",,,"0","Units",,,98584.8788498266,,
"IRL","Ireland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2019","2019",,,"0","Units",,,102822.718737769,,
"IRL","Ireland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2020","2020",,,"0","Units",,,109440.509537783,,
"IRL","Ireland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2021","2021",,,"0","Units",,,110604.783533991,,
"IRL","Ireland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2022","2022",,,"0","Units",,,110701.299593155,,
"FIN","Finland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2000","2000",,,"0","Units",,,87003.2550137995,,
"FIN","Finland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2001","2001",,,"0","Units",,,88442.0125047256,,
"FIN","Finland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2002","2002",,,"0","Units",,,91114.4724280869,,
"FIN","Finland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2003","2003",,,"0","Units",,,94596.8736944087,,
"FIN","Finland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2004","2004",,,"0","Units",,,99108.7189070592,,
"FIN","Finland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2005","2005",,,"0","Units",,,100334.307733712,,
"FIN","Finland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2006","2006",,,"0","Units",,,102746.671976223,,
"FIN","Finland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2007","2007",,,"0","Units",,,106653.503471955,,
"FIN","Finland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2008","2008",,,"0","Units",,,109061.289130094,,
"FIN","Finland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2009","2009",,,"0","Units",,,110042.242780117,,
"FIN","Finland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2010","2010",,,"0","Units",,,113325.000121188,,
"FIN","Finland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2011","2011",,,"0","Units",,,113959.689958199,,
"FIN","Finland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2012","2012",,,"0","Units",,,113695.826048138,,
"FIN","Finland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2013","2013",,,"0","Units",,,113803.964302489,,
"FIN","Finland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2014","2014",,,"0","Units",,,113465.65459252,,
"FIN","Finland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2015","2015",,,"0","Units",,,114774,,
"FIN","Finland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2016","2016",,,"0","Units",,,116558.812634857,,
"FIN","Finland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2017","2017",,,"0","Units",,,117948.921438725,,
"FIN","Finland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2018","2018",,,"0","Units",,,120062.429294152,,
"FIN","Finland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2019","2019",,,"0","Units",,,122375.858995408,,
"FIN","Finland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2020","2020",,,"0","Units",,,123058.885211163,,
"FIN","Finland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2021","2021",,,"0","Units",,,124973.005453808,,
"FIN","Finland","B6NS14_S15DEF","Real household net disposable income, deflated by household Final consumption, millions of national currency","2022","2022",,,"0","Units",,,122386.358051476,,
"ITA","Italy","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2000","2000",,,"0","Units",,,1231696.80646873,,
"ITA","Italy","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2001","2001",,,"0","Units",,,1264884.87283181,,
"ITA","Italy","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2002","2002",,,"0","Units",,,1277712.38240702,,
"ITA","Italy","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2003","2003",,,"0","Units",,,1283320.44622253,,
"ITA","Italy","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2004","2004",,,"0","Units",,,1300127.15831772,,
"ITA","Italy","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2005","2005",,,"0","Units",,,1308522.52110203,,
"ITA","Italy","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2006","2006",,,"0","Units",,,1320193.57484769,,
"ITA","Italy","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2007","2007",,,"0","Units",,,1336895.93680094,,
"ITA","Italy","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2008","2008",,,"0","Units",,,1317950.67877531,,
"ITA","Italy","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2009","2009",,,"0","Units",,,1294853.23930741,,
"ITA","Italy","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2010","2010",,,"0","Units",,,1276866.2467923,,
"ITA","Italy","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2011","2011",,,"0","Units",,,1268591.55751803,,
"ITA","Italy","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2012","2012",,,"0","Units",,,1205172.53909536,,
"ITA","Italy","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2013","2013",,,"0","Units",,,1198029.00377669,,
"ITA","Italy","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2014","2014",,,"0","Units",,,1204108.50978901,,
"ITA","Italy","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2015","2015",,,"0","Units",,,1216048.6,,
"ITA","Italy","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2016","2016",,,"0","Units",,,1229391.43007709,,
"ITA","Italy","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2017","2017",,,"0","Units",,,1240939.17137188,,
"ITA","Italy","B7NS14_S15P41DEF","Real household net adjusted disposable income, deflated by actual individual consumption, millions of national currency","2018","2018",,,"0","Units",,,1251664.45430228,,
